code,additives_n,energy_100g,fat_100g,fiber_100g,proteins_100g,sugars_100g,sodium_100g,salt_100g,carbohydrates_100g,healthy
0000000000100,0.0,936.0,8.2,0.0,5.1,22.0,1.84,4.6,29.0,0.0
0000000001199,5.0,916.0,5.9,2.8,9.7,1.7,0.1856,0.464,30.3,
0000000002264,0.0,866.0,6.7,1.7,8.9,0.6,0.16,0.4,27.5,
0000000003827,2.0,720.0,4.4,2.7,8.4,4.6,1.432,3.58,23.3,
0000000004510,1.0,477.0,8.1,1.7,3.9,1.4,0.124,0.31,5.7,
0000000004794,0.0,628.0,5.9,0.6,5.1,17.4,0.136,0.34,18.6,
0000000005272,2.0,891.0,6.2,3.1,8.1,1.7,2.156,5.39,30.0,
0000000005470,3.0,669.0,2.2,1.6,9.5,0.6,0.1432,0.358,25.2,1.0
0000000274722,2.0,450.0,2.2,0.5,6.8,0.5,0.28,0.7,15.3,1.0
0000000491228,4.0,1952.4,15.3,0.1,6.8,69.8,0.2,0.5,75.5,1.0
0000010179413,4.0,1632.0,7.0,0.0,7.0,42.0,0.39,0.975,70.0,
0000010205679,1.0,3012.0,80.0,0.0,0.0,0.0,0.1,0.25,0.0,
0000010206515,5.0,1720.0,6.42,0.0,0.03,81.67,0.04,0.1,87.86,0.0
0000010211687,0.0,2427.0,38.0,0.0,3.0,58.0,0.2,0.5,58.0,
0000010217610,7.0,1640.0,0.0,0.0,1.5,96.2,0.0,0.0,96.5,
0000030053014,2.0,1046.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0
0000040122250,0.0,126.0,0.2,0.0,0.9,4.7,0.64,1.6,4.9,
0000040144078,1.0,2360.0,30.5,0.0,0.0,51.6,0.892,2.23,51.6,0.0
0000040608754,2.0,177.0,0.0,0.0,0.0,10.4,0.01016,0.0254,10.4,0.0
0000050183364,5.0,1088.0,0.0,0.0,0.2,64.8,0.0,0.0,64.8,
0000050214211,1.0,1247.0,0.1,3.9,0.5,65.0,0.012,0.03,71.9,
0000050457540,0.0,1707.0,37.0,0.2,1.7,12.0,0.88,2.2,17.0,0.0
0000069004049,0.0,452.0,6.5,1.5,5.5,3.6,0.36,0.9,6.2,
0000069005138,0.0,703.0,10.3,0.0,18.9,0.0,0.04,0.1,0.0,1.0
0000069006562,0.0,573.0,3.1,2.2,2.2,0.8,0.4,1.0,24.0,0.0
0000069006869,1.0,841.0,10.0,2.5,2.5,1.0,0.52,1.3,24.0,
0000069015908,2.0,452.0,2.5,0.5,11.8,1.5,0.4,1.0,9.3,
0000069062063,2.0,678.0,6.6,0.9,8.2,3.7,0.292,0.73,17.0,1.0
0000069066153,3.0,1163.0,17.0,2.7,5.9,1.6,0.6,1.5,24.0,0.0
0000069067570,1.0,213.0,2.5,3.0,1.6,2.4,0.2,0.5,4.1,
0000069118821,1.0,1142.0,9.5,8.0,10.5,1.7,0.52,1.3,32.3,
0000069161018,1.0,992.0,14.0,1.1,7.3,1.0,0.4,1.0,20.0,
0000069161278,1.0,649.0,8.0,4.4,5.4,2.4,0.168,0.42,13.2,
0000069161292,1.0,1067.0,16.0,1.2,6.8,1.2,0.364,0.91,19.0,
0000069161506,2.0,1255.0,16.5,2.0,12.2,4.2,0.568,1.42,24.6,
0000069162015,2.0,544.0,7.4,1.0,6.3,2.1,0.232,0.58,9.4,
0000069162176,1.0,586.0,11.0,0.5,4.6,0.6,1.96,4.9,5.1,0.0
0000073013471,4.0,1025.0,10.9,0.9,13.9,1.5,0.568,1.42,22.4,0.0
0000079811132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0000087111910,0.0,1088.0,0.5,3.5,34.0,1.2,4.32,10.8,30.0,0.0
000010,3.0,1852.0,22.0,1.4,6.4,25.0,0.212,0.53,54.0,0.0
0000112302619,2.0,84.0,0.4,0.7,0.6,0.5,0.344,0.86,3.1,
00001427,1.0,1180.0,3.52,7.04,14.1,8.45,0.155,0.387,49.3,
000015,5.0,1926.0,24.0,1.4,6.4,31.0,0.192,0.48,54.0,0.0
0000155011159,0.0,1435.0,15.78,1.97,3.69,18.2,0.112,0.28,41.05,0.0
000020,5.0,1953.0,25.0,2.5,6.3,29.0,0.18,0.45,53.0,0.0
000023,5.0,1917.0,24.0,0.0,6.3,29.0,0.18,0.45,53.0,0.0
000030,5.0,1768.0,19.0,1.8,5.8,28.0,0.0,0.0,56.0,0.0
000031,11.0,1670.0,15.0,1.5,4.9,34.0,0.24,0.6,60.0,0.0
000039365,4.0,1390.0,25.0,1.33,254.0,29.0,0.495,1.24,29.0,0.0
000039681,3.0,1745.0,7.5,0.4,75.0,10.0,0.1404,0.351,10.0,0.0
000050,3.0,1868.0,23.0,1.7,8.0,39.0,0.22,0.55,51.0,0.0
00005001,0.0,134.0,0.1,2.2,1.4,4.5,0.0,0.0,4.8,1.0
000051,7.0,1896.0,24.0,2.5,8.1,37.0,0.312,0.78,50.0,0.0
00005401,0.0,1540.0,2.4,6.0,9.7,1.6,0.24,0.6,74.0,
000055,2.0,1907.0,26.0,3.4,8.0,34.0,0.26,0.65,46.0,0.0
0000554004509,2.0,1167.0,6.3,5.8,4.4,4.4,0.436,1.09,48.2,1.0
000057820,2.0,1674.0,0.0,0.0,0.0,50.0,0.0,0.0,100.0,0.0
000057954,0.0,1586.0,0.0,0.2,1.6,93.0,0.0,0.0,93.0,
0000584019351,0.0,1125.0,3.0,5.5,9.4,3.8,0.52,1.3,47.9,1.0
000061123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0000675006567,1.0,1075.0,1.3,8.2,10.5,1.4,0.52,1.3,46.4,1.0
000085420,0.0,1619.0,17.0,30.0,18.0,23.0,0.04,0.1,26.0,0.0
00009201,3.0,787.0,6.3,1.5,10.4,1.7,0.4,1.0,21.7,
00010016,5.0,932.0,17.8,0.0,15.5,0.6,0.676,1.69,0.6,0.0
000100981,0.0,1619.0,17.0,30.0,18.0,23.0,0.04,0.1,26.0,0.0
000104,9.0,1724.0,18.0,1.0,5.0,31.0,0.252,0.63,57.0,0.0
00010498,10.0,874.0,8.3,2.1,9.9,3.2,0.48,1.2,22.6,1.0
000107255,0.0,1619.0,17.0,30.0,18.0,23.0,0.04,0.1,26.0,0.0
00010900,13.0,552.0,4.3,1.3,6.2,1.5,0.196,0.49,16.1,1.0
00010948,1.0,728.0,6.0,2.0,1.1,5.0,0.44,1.1,24.5,0.0
00011105,5.0,649.0,12.5,2.5,1.1,8.2,0.32,0.8,8.2,1.0
000111106,0.0,1966.0,22.0,4.4,19.1,33.3,0.008,0.02,47.5,0.0
00011136,8.0,929.0,3.3,2.0,11.7,1.8,0.68,1.7,38.4,0.0
00011150,9.0,1213.0,4.5,9.4,12.5,2.0,0.92,2.3,41.0,0.0
00011198,7.0,879.0,8.5,2.0,8.0,4.3,0.32,0.8,22.6,1.0
00011341,0.0,498.0,1.1,4.4,5.0,4.8,0.32,0.8,22.6,1.0
00011679,4.0,2100.0,26.0,2.8,5.4,37.4,0.36,0.9,60.1,0.0
00011686,3.0,1866.0,17.9,3.0,5.5,34.7,0.34,0.85,64.3,0.0
00011723,3.0,2209.0,32.1,4.5,10.7,20.7,0.26,0.65,46.9,0.0
00011792,4.0,1824.0,17.8,1.2,5.3,42.5,0.292,0.73,69.3,0.0
00011839,2.0,238.0,0.3,0.7,0.9,10.6,0.012,0.03,12.1,0.0
00011945,3.0,255.0,3.5,2.5,1.0,4.5,0.28,0.7,5.0,1.0
00012140,1.0,252.0,1.9,1.5,2.0,2.2,0.12,0.3,7.4,1.0
0001217,0.0,1076.0,13.0,1.1,12.0,0.07,0.48,1.2,24.0,0.0
00012188,9.0,1079.0,17.0,3.1,8.9,2.6,0.376,0.94,15.0,1.0
00012195,12.0,916.0,8.0,0.6,9.7,2.1,0.6,1.5,26.3,1.0
00012232,9.0,415.0,2.3,1.7,5.6,1.1,0.2,0.5,13.0,1.0
00012249,0.0,268.0,2.3,1.3,3.7,1.4,0.16,0.4,1.8,1.0
00012256,4.0,649.0,7.6,1.8,4.6,0.8,0.12,0.3,16.4,1.0
00012263,12.0,1113.0,10.0,1.9,9.5,2.2,0.84,2.1,35.0,0.0
00012317,17.0,795.0,6.6,4.0,10.5,3.1,0.52,1.3,19.9,1.0
00012409,9.0,891.0,10.2,1.7,8.6,0.9,0.44,1.1,20.9,1.0
00012782,9.0,1276.0,14.3,1.3,13.6,3.5,0.68,1.7,29.8,0.0
000128550,0.0,1552.0,0.8,14.0,2.9,13.0,0.0,0.0,88.0,1.0
00013000,4.0,582.0,6.8,1.2,10.8,1.4,0.32,0.8,7.6,1.0
00013406,4.0,544.0,12.0,2.0,1.0,2.0,0.44,1.1,3.5,1.0
00013819,6.0,761.0,5.5,1.8,9.6,2.5,0.52,1.3,22.6,0.0
00013826,1.0,946.0,8.1,1.4,8.6,2.1,2.04,5.1,30.0,0.0
0001390000007,0.0,1582.0,8.2,7.0,63.5,3.0,0.44,1.1,9.1,
00013932,0.0,402.0,3.1,1.6,1.3,9.4,3.6799998,9.2,15.1,0.0
00014281,4.0,444.0,3.0,1.7,6.1,3.7,0.6,1.5,12.8,0.0
00014311,3.0,444.0,4.4,1.3,5.5,0.8,0.048,0.12,10.3,1.0
00014502,7.0,824.0,6.6,1.6,9.9,1.7,0.44,1.1,26.1,1.0
00014519,2.0,590.0,10.1,2.5,6.6,1.9,0.2,0.5,4.2,1.0
00014526,0.0,197.0,0.2,2.0,1.8,8.0,0.04,0.1,8.6,1.0
00014717,1.0,456.0,2.2,0.8,5.7,1.4,0.172,0.43,16.0,1.0
00014915,4.0,736.0,2.8,1.3,8.4,4.0,0.4,1.0,28.2,1.0
00014922,2.0,950.0,9.3,1.6,9.2,0.7,0.4,1.0,25.2,1.0
00015004,7.0,1121.0,13.8,4.5,11.2,2.9,1.08,2.7,22.5,0.0
00015011,4.0,653.0,1.7,1.4,8.1,2.2,0.4,1.0,25.8,1.0
00015080,0.0,59.0,0.1,1.3,1.0,0.8,0.02,0.05,1.5,1.0
00015271,6.0,703.0,4.2,1.8,9.5,4.1,0.228,0.57,20.9,1.0
00015509,0.0,812.0,5.6,1.7,9.6,1.6,0.44,1.1,27.7,1.0
00015691,8.0,854.0,6.3,2.5,8.1,4.2,0.372,0.93,27.3,1.0
00015769,1.0,448.0,5.2,2.3,2.3,5.1,0.16,0.4,11.5,1.0
00016940,0.0,2071.0,23.8,7.7,5.8,25.6,0.04,0.1,60.5,0.0
000173182,13.0,1674.0,12.0,9.6,30.0,2.3,0.22,0.55,37.0,
00018593,1.0,1133.0,7.5,7.5,3.0,18.6,0.22,0.55,43.8,0.0
00018999,0.0,1431.0,1.6,3.6,7.0,0.6,0.032,0.08,73.0,1.0
0002000000288,0.0,1294.66,11.97,9.89,6.96,23.48,0.017,0.0425,39.85,1.0
0002000000776,1.0,828.0,12.0,4.9,22.0,0.6,1.16,2.9,0.6,
0002000002404,1.0,527.0,4.5,2.5,4.0,3.0,0.28,0.7,16.0,
0002000002466,2.0,904.0,2.9,3.0,4.0,0.7,0.38,0.95,44.0,1.0
0002000003104,0.0,1423.0,1.5,8.2,22.0,2.4,0.008,0.02,55.6,
0002000006754,2.0,1903.0,29.0,2.6,6.6,32.0,0.112,0.28,41.0,0.0
0002000008390,2.0,1360.0,4.0,4.6,19.3,1.5,1.72,4.3,50.5,0.0
0002000008536,1.0,1527.0,13.0,2.0,3.0,25.0,0.148,0.37,55.0,0.0
0002000010775,0.0,1033.0,12.0,5.5,16.0,2.4,0.52,1.3,16.0,1.0
0002000012847,0.0,1351.0,10.8,8.0,8.1,8.0,0.04,0.1,48.6,
00020022,1.0,460.0,2.7,1.0,6.9,1.1,0.092,0.23,14.2,1.0
